,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,pos,neg,neutral,pos_neg_ratio
41,Indiana Jones and the Last Crusade,1989,PG-13,2h 7min,Action; Adventure; ,24 May 1989 (USA),8.2,672206,567,https://www.imdb.com/title/tt0097576/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604735883424408,0.37522768670309653,0.020036429872495445,1.6116504854368932
42,Spider-Man,2002,PG-13,2h 1min,Action; Adventure; Sci-Fi; ,3 May 2002 (USA),7.3,671751,2124,https://www.imdb.com/title/tt0145487/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5956542276806802,0.3925366084081247,0.011809163911195087,1.5174488567990374
43,I Am Legend,2007,PG-13,1h 41min,Action; Adventure; Drama; ,14 December 2007 (USA),7.2,670748,1543,https://www.imdb.com/title/tt0480249/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.42023346303501946,0.5700389105058365,0.009727626459143969,0.7372013651877133
44,Kill Bill: Vol. 2,2004,R,2h 17min,Action; Crime; Thriller; ,16 April 2004 (USA),8.0,663568,1022,https://www.imdb.com/title/tt0378194/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6232876712328768,0.363013698630137,0.0136986301369863,1.7169811320754718
45,X-Men: Days of Future Past,2014,PG-13,2h 12min,Action; Adventure; Sci-Fi; ,23 May 2014 (USA),8.0,647269,821,https://www.imdb.com/title/tt1877832/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8056234718826406,0.1821515892420538,0.012224938875305624,4.422818791946309
46,How to Train Your Dragon,2010,PG,1h 38min,Animation; Action; Adventure; ,26 March 2010 (USA),8.1,647266,626,https://www.imdb.com/title/tt0892769/reviews/_ajax?ref_=undefined&paginationKey=,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867862969004894,0.12887438825448613,0.0032626427406199023,6.734177215189874
47,Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,2h 31min,Action; Adventure; Fantasy; ,7 July 2006 (USA),7.3,641045,1889,https://www.imdb.com/title/tt0383574/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4666313559322034,0.5169491525423728,0.01641949152542373,0.9026639344262295
48,The Incredibles,2004,PG,1h 55min,Animation; Action; Adventure; ,5 November 2004 (USA),8.0,638952,946,https://www.imdb.com/title/tt0317705/reviews/_ajax?ref_=undefined&paginationKey=,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8183760683760684,0.1762820512820513,0.005341880341880342,4.642424242424243
49,Captain America: Civil War,2016,PG-13,2h 27min,Action; Adventure; Sci-Fi; ,6 May 2016 (USA),7.8,638731,1410,https://www.imdb.com/title/tt3498820/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6716845878136201,0.3146953405017921,0.013620071684587814,2.134396355353075
50,Aliens,1986,R,2h 17min,Action; Adventure; Sci-Fi; ,18 July 1986 (USA),8.3,635164,1280,https://www.imdb.com/title/tt0090605/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7800161160354553,0.20870265914585012,0.011281224818694601,3.7374517374517375
